order_id,vendor,vehicle_type,origin_city,destination_city,shipment_date,planned_delivery,actual_delivery,distance_km,weather_condition,traffic_condition,vendor_delay_score,hour_of_day,day_of_week,holiday_flag,pickup_delay_minutes,driver_rating,vehicle_age_years,order_weight_kg,num_packages,order_priority,road_type,is_delayed
ORD_100000,EcomExpress,Van,Delhi,Mumbai,27-06-2025 00:48,27-06-2025 16:48,27-06-2025 16:48,880,Clear,Light,0.56,0,4,0,0,4.1,4,37.28,7,Standard,Highway,0
ORD_100001,EcomExpress,Tempo,Chennai,Kolkata,14-06-2025 01:48,15-06-2025 08:48,15-06-2025 08:48,1146,Fog,Moderate,0.35,1,5,0,0,3.3,10,25.02,1,Standard,Highway,0
ORD_100002,BlueDart,Bike,Mumbai,Delhi,18-06-2025 10:48,19-06-2025 03:48,19-06-2025 05:48,778,Clear,Moderate,0.27,10,2,0,5,3.7,10,19.38,8,Standard,Urban,0
ORD_100003,BlueDart,Van,Mumbai,Hyderabad,01-07-2025 14:48,02-07-2025 04:48,02-07-2025 16:48,731,Storm,Moderate,0.31,14,1,0,10,2.8,2,38.39,2,Standard,Highway,1
ORD_100004,Shadowfax,Van,Mumbai,Delhi,03-07-2025 17:48,04-07-2025 09:48,04-07-2025 09:48,951,Storm,Light,0.17,17,3,0,0,3.3,5,3.22,4,Standard,Highway,0
ORD_100005,EcomExpress,Mini Truck,Delhi,Kolkata,22-06-2025 16:48,23-06-2025 13:48,23-06-2025 15:48,841,Storm,Light,0.34,16,6,0,0,4.1,0,27.68,2,Standard,Urban,0
ORD_100006,EcomExpress,Bike,Hyderabad,Delhi,06-07-2025 07:48,07-07-2025 05:48,07-07-2025 07:48,1172,Rain,Moderate,0.42,7,6,0,0,4.3,0,4.87,7,Standard,Highway,0
ORD_100007,BlueDart,Bike,Hyderabad,Kolkata,13-06-2025 05:48,14-06-2025 03:48,14-06-2025 11:48,1259,Rain,Heavy,0.36,5,4,0,10,3.2,6,34.93,5,Express,Highway,1
ORD_100008,Shadowfax,Van,Hyderabad,Chennai,05-07-2025 20:48,06-07-2025 14:48,06-07-2025 14:48,1027,Rain,Light,0.14,20,5,0,15,4.3,9,36.78,7,Standard,Highway,0
ORD_100009,EcomExpress,Mini Truck,Hyderabad,Kolkata,12-06-2025 16:48,13-06-2025 20:48,13-06-2025 20:48,1485,Storm,Moderate,0.25,16,3,0,0,4.9,7,29.94,8,Standard,Urban,0
ORD_100010,EcomExpress,Van,Delhi,Kolkata,08-07-2025 02:48,08-07-2025 20:48,08-07-2025 22:48,660,Fog,Heavy,0.18,2,1,0,0,4.2,6,14.71,6,Standard,Highway,0
ORD_100011,XpressBees,Bike,Pune,Mumbai,04-07-2025 06:48,05-07-2025 08:48,05-07-2025 08:48,1163,Rain,Moderate,0.34,6,4,0,0,4.3,7,1.36,5,Express,Highway,0
ORD_100012,EcomExpress,Mini Truck,Chennai,Bangalore,07-07-2025 00:48,08-07-2025 02:48,08-07-2025 02:48,1065,Clear,Moderate,0.18,0,0,0,10,4.2,10,35.46,1,Standard,Highway,0
ORD_100013,Shadowfax,Bike,Delhi,Chennai,20-06-2025 20:48,21-06-2025 06:48,21-06-2025 06:48,637,Storm,Moderate,0.3,20,4,0,10,4.5,0,22.34,6,Standard,Highway,0
ORD_100014,EcomExpress,Van,Pune,Bangalore,05-07-2025 16:48,06-07-2025 19:48,06-07-2025 19:48,1368,Rain,Moderate,0.09,16,5,0,0,4.5,9,30.85,7,Standard,Highway,0
ORD_100015,XpressBees,Bike,Bangalore,Mumbai,22-06-2025 10:48,22-06-2025 13:48,22-06-2025 21:48,197,Rain,Light,0.25,10,6,0,5,4.8,2,29.7,7,Standard,Highway,1
ORD_100016,EcomExpress,Tempo,Chennai,Pune,25-06-2025 08:48,26-06-2025 12:48,26-06-2025 12:48,1430,Fog,Light,0.56,8,2,0,0,4.6,5,28.4,2,Standard,Highway,0
ORD_100017,Delhivery,Mini Truck,Mumbai,Kolkata,30-06-2025 10:48,30-06-2025 10:48,30-06-2025 10:48,13,Rain,Heavy,0.37,10,0,0,5,4.6,6,12.04,2,Standard,Urban,0
ORD_100018,Delhivery,Mini Truck,Pune,Kolkata,23-06-2025 01:48,23-06-2025 04:48,24-06-2025 04:48,160,Clear,Moderate,0.28,1,0,0,15,4,8,7.05,2,Standard,Urban,1
ORD_100019,XpressBees,Mini Truck,Bangalore,Chennai,05-07-2025 12:48,05-07-2025 15:48,05-07-2025 23:48,128,Storm,Moderate,0.52,12,5,0,0,3.1,8,9.7,7,Standard,Highway,1
ORD_100020,Shadowfax,Bike,Mumbai,Kolkata,13-06-2025 03:48,14-06-2025 02:48,14-06-2025 02:48,1242,Fog,Light,0.13,3,4,0,10,3.6,5,18.51,10,Standard,Urban,0
ORD_100021,XpressBees,Tempo,Kolkata,Pune,29-06-2025 10:48,30-06-2025 01:48,30-06-2025 05:48,890,Fog,Light,0.26,10,6,0,0,3.7,5,25.28,10,Standard,Urban,0
ORD_100022,Shadowfax,Van,Chennai,Delhi,13-06-2025 06:48,13-06-2025 13:48,13-06-2025 13:48,386,Clear,Moderate,0.49,6,4,0,0,4.4,6,49.7,9,Standard,Highway,0
ORD_100023,Delhivery,Mini Truck,Delhi,Bangalore,26-06-2025 04:48,26-06-2025 05:48,26-06-2025 13:48,60,Storm,Light,0.49,4,3,0,30,2.9,1,47.71,7,Express,Rural,1
ORD_100024,XpressBees,Bike,Pune,Mumbai,03-07-2025 11:48,04-07-2025 09:48,04-07-2025 09:48,1313,Fog,Moderate,0.12,11,3,0,0,4.4,7,29.49,4,Express,Urban,0
ORD_100025,EcomExpress,Tempo,Kolkata,Pune,26-06-2025 10:48,26-06-2025 15:48,26-06-2025 17:48,165,Clear,Light,0.11,10,3,0,0,4.8,5,19.58,8,Standard,Highway,0
ORD_100026,BlueDart,Bike,Mumbai,Chennai,27-06-2025 02:48,27-06-2025 05:48,27-06-2025 17:48,171,Clear,Moderate,0.12,2,4,0,15,3,10,17.34,6,Express,Urban,1
